time;reference;observation
 24.874126;4000.000000;3970.000000
 24.879122;4000.000000;3961.000000
 24.884123;4000.000000;3956.000000
 24.889126;4000.000000;3977.000000
 24.894121;4000.000000;3962.000000
 24.899197;4000.000000;3971.000000
 24.904123;4000.000000;3960.000000
 24.909119;4000.000000;3979.000000
 24.914125;4000.000000;3963.000000
 24.919123;4000.000000;3958.000000
 24.924126;4000.000000;3972.000000
 24.929361;4000.000000;3974.000000
 24.934122;4000.000000;3960.000000
 24.939121;4000.000000;3971.000000
 24.944122;4000.000000;3982.000000
 24.949123;4000.000000;3965.000000
 24.954123;4000.000000;3971.000000
 24.959122;4000.000000;3971.000000
 24.964125;4000.000000;3981.000000
 24.969120;4000.000000;3989.000000
 24.974121;4000.000000;3966.000000
 24.979118;4000.000000;3971.000000
 24.984123;4000.000000;3973.000000
 24.989126;4000.000000;3973.000000
 24.994125;4000.000000;3984.000000
 24.999123;4000.000000;3980.000000
 25.004124;4000.000000;3974.000000
 25.009117;4000.000000;3984.000000
 25.014124;4000.000000;3991.000000
 25.019133;4000.000000;3980.000000
 25.024122;4000.000000;3975.000000
 25.029123;4000.000000;3985.000000
 25.034122;4000.000000;3984.000000
 25.039122;4000.000000;3962.000000
 25.044127;4000.000000;3903.000000
 25.049124;4000.000000;3646.000000
 25.054125;4000.000000;3477.000000
 25.059118;4000.000000;3519.000000
 25.064123;4000.000000;3561.000000
 25.069126;4000.000000;3715.000000
 25.074123;4000.000000;3863.000000
 25.079128;4000.000000;3933.000000
 25.084126;4000.000000;3990.000000
 25.089123;4000.000000;4006.000000
 25.094126;4000.000000;4018.000000
 25.099119;4000.000000;4020.000000
 25.104126;4000.000000;4024.000000
 25.109123;4000.000000;4023.000000
 25.114124;4000.000000;4022.000000
 25.119125;4000.000000;4044.000000
 25.124123;4000.000000;4027.000000
 25.129126;4000.000000;4040.000000
 25.134123;4000.000000;4042.000000
 25.139120;4000.000000;4028.000000
 25.144121;4000.000000;4021.000000
 25.149124;4000.000000;4027.000000
 25.154125;4000.000000;4026.000000
